macro_domain,subdomain,micro_domain,audience_hint,problem_hint,format_hint,risk_level,priority,language,country,notes
pflege,pflege_dokumentation,Pflege Dokumentation für Senioren,senioren,zeit sparen und effizienter arbeiten,planer,low,53,de,DE,micro domain #31
pflege,pflege_dokumentation,Pflege Dokumentation für Eltern,eltern,ueberblick behalten und struktur schaffen,tagebuch,low,54,de,DE,micro domain #32
pflege,pflege_dokumentation,Pflege Dokumentation für Alleinerziehende,alleinerziehende,fehler vermeiden und qualitaet sichern,trainingsjournal,low,55,de,DE,micro domain #33
pflege,pflege_dokumentation,Pflege Dokumentation für Berufseinsteiger,berufseinsteiger,kosten senken und budget einhalten,workbook,low,56,de,DE,micro domain #34
pflege,pflege_dokumentation,Pflege Dokumentation für Selbststaendige,selbststaendige,motivation finden und dranbleiben,leitfaden,low,57,de,DE,micro domain #35
pflege,pflege_dokumentation,Pflege Dokumentation für Freelancer,freelancer,richtige methode erlernen,praxisbuch,low,53,de,DE,micro domain #36
pflege,pflege_dokumentation,Pflege Dokumentation für Kleinunternehmer,kleinunternehmer,alltag vereinfachen und routine aufbauen,vorlagenbuch,low,54,de,DE,micro domain #37
pflege,pflege_dokumentation,Pflege Dokumentation für Studenten,studenten,sicherer im umgang werden,arbeitsbuch,low,55,de,DE,micro domain #38
pflege,pflege_dokumentation,Pflege Dokumentation für Schueler,schueler,besser verstehen und anwenden,ratgeber,low,56,de,DE,micro domain #39
pflege,pflege_dokumentation,Pflege Dokumentation für Rentner,rentner,ergebnisse verbessern und optimieren,checkliste,low,57,de,DE,micro domain #40
pflege,pflege_planung,Pflege Planung für Eltern,eltern,zeit sparen und effizienter arbeiten,tagebuch,low,54,de,DE,micro domain #41
pflege,pflege_planung,Pflege Planung für Alleinerziehende,alleinerziehende,ueberblick behalten und struktur schaffen,trainingsjournal,low,55,de,DE,micro domain #42
pflege,pflege_planung,Pflege Planung für Berufseinsteiger,berufseinsteiger,fehler vermeiden und qualitaet sichern,workbook,low,56,de,DE,micro domain #43
pflege,pflege_planung,Pflege Planung für Selbststaendige,selbststaendige,kosten senken und budget einhalten,leitfaden,low,57,de,DE,micro domain #44
pflege,pflege_planung,Pflege Planung für Freelancer,freelancer,motivation finden und dranbleiben,praxisbuch,low,58,de,DE,micro domain #45
pflege,pflege_planung,Pflege Planung für Kleinunternehmer,kleinunternehmer,richtige methode erlernen,vorlagenbuch,low,54,de,DE,micro domain #46
pflege,pflege_planung,Pflege Planung für Studenten,studenten,alltag vereinfachen und routine aufbauen,arbeitsbuch,low,55,de,DE,micro domain #47
pflege,pflege_planung,Pflege Planung für Schueler,schueler,sicherer im umgang werden,ratgeber,low,56,de,DE,micro domain #48
pflege,pflege_planung,Pflege Planung für Rentner,rentner,besser verstehen und anwenden,checkliste,low,57,de,DE,micro domain #49
pflege,pflege_planung,Pflege Planung für Pflegende Angehoerige,pflegende_angehoerige,ergebnisse verbessern und optimieren,planer,low,58,de,DE,micro domain #50
pflege,pflege_optimierung,Pflege Optimierung für Alleinerziehende,alleinerziehende,zeit sparen und effizienter arbeiten,trainingsjournal,low,50,de,DE,micro domain #51
pflege,pflege_optimierung,Pflege Optimierung für Berufseinsteiger,berufseinsteiger,ueberblick behalten und struktur schaffen,workbook,low,51,de,DE,micro domain #52
pflege,pflege_optimierung,Pflege Optimierung für Selbststaendige,selbststaendige,fehler vermeiden und qualitaet sichern,leitfaden,low,52,de,DE,micro domain #53
pflege,pflege_optimierung,Pflege Optimierung für Freelancer,freelancer,kosten senken und budget einhalten,praxisbuch,low,53,de,DE,micro domain #54
pflege,pflege_optimierung,Pflege Optimierung für Kleinunternehmer,kleinunternehmer,motivation finden und dranbleiben,vorlagenbuch,low,54,de,DE,micro domain #55
pflege,pflege_optimierung,Pflege Optimierung für Studenten,studenten,richtige methode erlernen,arbeitsbuch,low,50,de,DE,micro domain #56
pflege,pflege_optimierung,Pflege Optimierung für Schueler,schueler,alltag vereinfachen und routine aufbauen,ratgeber,low,51,de,DE,micro domain #57
pflege,pflege_optimierung,Pflege Optimierung für Rentner,rentner,sicherer im umgang werden,checkliste,low,52,de,DE,micro domain #58
pflege,pflege_optimierung,Pflege Optimierung für Pflegende Angehoerige,pflegende_angehoerige,besser verstehen und anwenden,planer,low,53,de,DE,micro domain #59
pflege,pflege_optimierung,Pflege Optimierung für Fachkraefte,fachkraefte,ergebnisse verbessern und optimieren,tagebuch,low,54,de,DE,micro domain #60
pflege,pflege_pflege,Pflege Pflege für Berufseinsteiger,berufseinsteiger,zeit sparen und effizienter arbeiten,workbook,medium,51,de,DE,micro domain #61
pflege,pflege_pflege,Pflege Pflege für Selbststaendige,selbststaendige,ueberblick behalten und struktur schaffen,leitfaden,medium,52,de,DE,micro domain #62
pflege,pflege_pflege,Pflege Pflege für Freelancer,freelancer,fehler vermeiden und qualitaet sichern,praxisbuch,medium,53,de,DE,micro domain #63
pflege,pflege_pflege,Pflege Pflege für Kleinunternehmer,kleinunternehmer,kosten senken und budget einhalten,vorlagenbuch,medium,54,de,DE,micro domain #64
pflege,pflege_pflege,Pflege Pflege für Studenten,studenten,motivation finden und dranbleiben,arbeitsbuch,medium,55,de,DE,micro domain #65
pflege,pflege_pflege,Pflege Pflege für Schueler,schueler,richtige methode erlernen,ratgeber,medium,51,de,DE,micro domain #66
pflege,pflege_pflege,Pflege Pflege für Rentner,rentner,alltag vereinfachen und routine aufbauen,checkliste,medium,52,de,DE,micro domain #67
pflege,pflege_pflege,Pflege Pflege für Pflegende Angehoerige,pflegende_angehoerige,sicherer im umgang werden,planer,medium,53,de,DE,micro domain #68
pflege,pflege_pflege,Pflege Pflege für Fachkraefte,fachkraefte,besser verstehen und anwenden,tagebuch,medium,54,de,DE,micro domain #69
pflege,pflege_pflege,Pflege Pflege für Fuehrungskraefte,fuehrungskraefte,ergebnisse verbessern und optimieren,trainingsjournal,medium,55,de,DE,micro domain #70
pflege,pflege_training,Pflege Training für Selbststaendige,selbststaendige,zeit sparen und effizienter arbeiten,leitfaden,medium,52,de,DE,micro domain #71
pflege,pflege_training,Pflege Training für Freelancer,freelancer,ueberblick behalten und struktur schaffen,praxisbuch,medium,53,de,DE,micro domain #72
pflege,pflege_training,Pflege Training für Kleinunternehmer,kleinunternehmer,fehler vermeiden und qualitaet sichern,vorlagenbuch,medium,54,de,DE,micro domain #73
pflege,pflege_training,Pflege Training für Studenten,studenten,kosten senken und budget einhalten,arbeitsbuch,medium,55,de,DE,micro domain #74
pflege,pflege_training,Pflege Training für Schueler,schueler,motivation finden und dranbleiben,ratgeber,medium,56,de,DE,micro domain #75
pflege,pflege_training,Pflege Training für Rentner,rentner,richtige methode erlernen,checkliste,medium,52,de,DE,micro domain #76
pflege,pflege_training,Pflege Training für Pflegende Angehoerige,pflegende_angehoerige,alltag vereinfachen und routine aufbauen,planer,medium,53,de,DE,micro domain #77
pflege,pflege_training,Pflege Training für Fachkraefte,fachkraefte,sicherer im umgang werden,tagebuch,medium,54,de,DE,micro domain #78
pflege,pflege_training,Pflege Training für Fuehrungskraefte,fuehrungskraefte,besser verstehen und anwenden,trainingsjournal,medium,55,de,DE,micro domain #79
pflege,pflege_training,Pflege Training für Schichtarbeiter,schichtarbeiter,ergebnisse verbessern und optimieren,workbook,medium,56,de,DE,micro domain #80
pflege,pflege_beratung,Pflege Beratung für Freelancer,freelancer,zeit sparen und effizienter arbeiten,praxisbuch,medium,53,de,DE,micro domain #81
pflege,pflege_beratung,Pflege Beratung für Kleinunternehmer,kleinunternehmer,ueberblick behalten und struktur schaffen,vorlagenbuch,medium,54,de,DE,micro domain #82
pflege,pflege_beratung,Pflege Beratung für Studenten,studenten,fehler vermeiden und qualitaet sichern,arbeitsbuch,medium,55,de,DE,micro domain #83
pflege,pflege_beratung,Pflege Beratung für Schueler,schueler,kosten senken und budget einhalten,ratgeber,medium,56,de,DE,micro domain #84
pflege,pflege_beratung,Pflege Beratung für Rentner,rentner,motivation finden und dranbleiben,checkliste,medium,57,de,DE,micro domain #85
pflege,pflege_beratung,Pflege Beratung für Pflegende Angehoerige,pflegende_angehoerige,richtige methode erlernen,planer,medium,53,de,DE,micro domain #86
pflege,pflege_beratung,Pflege Beratung für Fachkraefte,fachkraefte,alltag vereinfachen und routine aufbauen,tagebuch,medium,54,de,DE,micro domain #87
pflege,pflege_beratung,Pflege Beratung für Fuehrungskraefte,fuehrungskraefte,sicherer im umgang werden,trainingsjournal,medium,55,de,DE,micro domain #88
pflege,pflege_beratung,Pflege Beratung für Schichtarbeiter,schichtarbeiter,besser verstehen und anwenden,workbook,medium,56,de,DE,micro domain #89
pflege,pflege_beratung,Pflege Beratung für Berufstaetige,berufstaetige,ergebnisse verbessern und optimieren,leitfaden,medium,57,de,DE,micro domain #90
pflege,pflege_hilfe,Pflege Hilfe für Kleinunternehmer,kleinunternehmer,zeit sparen und effizienter arbeiten,vorlagenbuch,high,54,de,DE,micro domain #91
pflege,pflege_hilfe,Pflege Hilfe für Studenten,studenten,ueberblick behalten und struktur schaffen,arbeitsbuch,high,55,de,DE,micro domain #92
pflege,pflege_hilfe,Pflege Hilfe für Schueler,schueler,fehler vermeiden und qualitaet sichern,ratgeber,high,56,de,DE,micro domain #93
pflege,pflege_hilfe,Pflege Hilfe für Rentner,rentner,kosten senken und budget einhalten,checkliste,high,57,de,DE,micro domain #94
pflege,pflege_hilfe,Pflege Hilfe für Pflegende Angehoerige,pflegende_angehoerige,motivation finden und dranbleiben,planer,high,58,de,DE,micro domain #95
pflege,pflege_hilfe,Pflege Hilfe für Fachkraefte,fachkraefte,richtige methode erlernen,tagebuch,high,54,de,DE,micro domain #96
pflege,pflege_hilfe,Pflege Hilfe für Fuehrungskraefte,fuehrungskraefte,alltag vereinfachen und routine aufbauen,trainingsjournal,high,55,de,DE,micro domain #97
pflege,pflege_hilfe,Pflege Hilfe für Schichtarbeiter,schichtarbeiter,sicherer im umgang werden,workbook,high,56,de,DE,micro domain #98
pflege,pflege_hilfe,Pflege Hilfe für Berufstaetige,berufstaetige,besser verstehen und anwenden,leitfaden,high,57,de,DE,micro domain #99
pflege,pflege_hilfe,Pflege Hilfe für Jugendliche,jugendliche,ergebnisse verbessern und optimieren,praxisbuch,high,58,de,DE,micro domain #100
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Einsteiger,einsteiger,ueberblick behalten und struktur schaffen,arbeitsbuch,low,51,de,DE,micro domain #101
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Fortgeschrittene,fortgeschrittene,fehler vermeiden und qualitaet sichern,ratgeber,low,52,de,DE,micro domain #102
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Senioren,senioren,kosten senken und budget einhalten,checkliste,low,53,de,DE,micro domain #103
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Eltern,eltern,motivation finden und dranbleiben,planer,low,54,de,DE,micro domain #104
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Alleinerziehende,alleinerziehende,richtige methode erlernen,tagebuch,low,55,de,DE,micro domain #105
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Berufseinsteiger,berufseinsteiger,alltag vereinfachen und routine aufbauen,trainingsjournal,low,51,de,DE,micro domain #106
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Selbststaendige,selbststaendige,sicherer im umgang werden,workbook,low,52,de,DE,micro domain #107
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Freelancer,freelancer,besser verstehen und anwenden,leitfaden,low,53,de,DE,micro domain #108
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Kleinunternehmer,kleinunternehmer,ergebnisse verbessern und optimieren,praxisbuch,low,54,de,DE,micro domain #109
gesundheit,gesundheit_grundlagen,Gesundheit Grundlagen für Studenten,studenten,zeit sparen und effizienter arbeiten,vorlagenbuch,low,55,de,DE,micro domain #110
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Fortgeschrittene,fortgeschrittene,ueberblick behalten und struktur schaffen,ratgeber,low,52,de,DE,micro domain #111
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Senioren,senioren,fehler vermeiden und qualitaet sichern,checkliste,low,53,de,DE,micro domain #112
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Eltern,eltern,kosten senken und budget einhalten,planer,low,54,de,DE,micro domain #113
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Alleinerziehende,alleinerziehende,motivation finden und dranbleiben,tagebuch,low,55,de,DE,micro domain #114
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Berufseinsteiger,berufseinsteiger,richtige methode erlernen,trainingsjournal,low,56,de,DE,micro domain #115
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Selbststaendige,selbststaendige,alltag vereinfachen und routine aufbauen,workbook,low,52,de,DE,micro domain #116
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Freelancer,freelancer,sicherer im umgang werden,leitfaden,low,53,de,DE,micro domain #117
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Kleinunternehmer,kleinunternehmer,besser verstehen und anwenden,praxisbuch,low,54,de,DE,micro domain #118
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Studenten,studenten,ergebnisse verbessern und optimieren,vorlagenbuch,low,55,de,DE,micro domain #119
gesundheit,gesundheit_fortgeschritten,Gesundheit Fortgeschritten für Schueler,schueler,zeit sparen und effizienter arbeiten,arbeitsbuch,low,56,de,DE,micro domain #120
gesundheit,gesundheit_organisation,Gesundheit Organisation für Senioren,senioren,ueberblick behalten und struktur schaffen,checkliste,low,53,de,DE,micro domain #121
gesundheit,gesundheit_organisation,Gesundheit Organisation für Eltern,eltern,fehler vermeiden und qualitaet sichern,planer,low,54,de,DE,micro domain #122
gesundheit,gesundheit_organisation,Gesundheit Organisation für Alleinerziehende,alleinerziehende,kosten senken und budget einhalten,tagebuch,low,55,de,DE,micro domain #123
gesundheit,gesundheit_organisation,Gesundheit Organisation für Berufseinsteiger,berufseinsteiger,motivation finden und dranbleiben,trainingsjournal,low,56,de,DE,micro domain #124
gesundheit,gesundheit_organisation,Gesundheit Organisation für Selbststaendige,selbststaendige,richtige methode erlernen,workbook,low,57,de,DE,micro domain #125
gesundheit,gesundheit_organisation,Gesundheit Organisation für Freelancer,freelancer,alltag vereinfachen und routine aufbauen,leitfaden,low,53,de,DE,micro domain #126
gesundheit,gesundheit_organisation,Gesundheit Organisation für Kleinunternehmer,kleinunternehmer,sicherer im umgang werden,praxisbuch,low,54,de,DE,micro domain #127
gesundheit,gesundheit_organisation,Gesundheit Organisation für Studenten,studenten,besser verstehen und anwenden,vorlagenbuch,low,55,de,DE,micro domain #128
gesundheit,gesundheit_organisation,Gesundheit Organisation für Schueler,schueler,ergebnisse verbessern und optimieren,arbeitsbuch,low,56,de,DE,micro domain #129
gesundheit,gesundheit_organisation,Gesundheit Organisation für Rentner,rentner,zeit sparen und effizienter arbeiten,ratgeber,low,57,de,DE,micro domain #130
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Eltern,eltern,ueberblick behalten und struktur schaffen,planer,low,54,de,DE,micro domain #131
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Alleinerziehende,alleinerziehende,fehler vermeiden und qualitaet sichern,tagebuch,low,55,de,DE,micro domain #132
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Berufseinsteiger,berufseinsteiger,kosten senken und budget einhalten,trainingsjournal,low,56,de,DE,micro domain #133
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Selbststaendige,selbststaendige,motivation finden und dranbleiben,workbook,low,57,de,DE,micro domain #134
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Freelancer,freelancer,richtige methode erlernen,leitfaden,low,58,de,DE,micro domain #135
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Kleinunternehmer,kleinunternehmer,alltag vereinfachen und routine aufbauen,praxisbuch,low,54,de,DE,micro domain #136
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Studenten,studenten,sicherer im umgang werden,vorlagenbuch,low,55,de,DE,micro domain #137
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Schueler,schueler,besser verstehen und anwenden,arbeitsbuch,low,56,de,DE,micro domain #138
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Rentner,rentner,ergebnisse verbessern und optimieren,ratgeber,low,57,de,DE,micro domain #139
gesundheit,gesundheit_dokumentation,Gesundheit Dokumentation für Pflegende Angehoerige,pflegende_angehoerige,zeit sparen und effizienter arbeiten,checkliste,low,58,de,DE,micro domain #140
gesundheit,gesundheit_planung,Gesundheit Planung für Alleinerziehende,alleinerziehende,ueberblick behalten und struktur schaffen,tagebuch,low,55,de,DE,micro domain #141
gesundheit,gesundheit_planung,Gesundheit Planung für Berufseinsteiger,berufseinsteiger,fehler vermeiden und qualitaet sichern,trainingsjournal,low,56,de,DE,micro domain #142
gesundheit,gesundheit_planung,Gesundheit Planung für Selbststaendige,selbststaendige,kosten senken und budget einhalten,workbook,low,57,de,DE,micro domain #143
gesundheit,gesundheit_planung,Gesundheit Planung für Freelancer,freelancer,motivation finden und dranbleiben,leitfaden,low,58,de,DE,micro domain #144
gesundheit,gesundheit_planung,Gesundheit Planung für Kleinunternehmer,kleinunternehmer,richtige methode erlernen,praxisbuch,low,59,de,DE,micro domain #145
gesundheit,gesundheit_planung,Gesundheit Planung für Studenten,studenten,alltag vereinfachen und routine aufbauen,vorlagenbuch,low,55,de,DE,micro domain #146
gesundheit,gesundheit_planung,Gesundheit Planung für Schueler,schueler,sicherer im umgang werden,arbeitsbuch,low,56,de,DE,micro domain #147
gesundheit,gesundheit_planung,Gesundheit Planung für Rentner,rentner,besser verstehen und anwenden,ratgeber,low,57,de,DE,micro domain #148
gesundheit,gesundheit_planung,Gesundheit Planung für Pflegende Angehoerige,pflegende_angehoerige,ergebnisse verbessern und optimieren,checkliste,low,58,de,DE,micro domain #149
gesundheit,gesundheit_planung,Gesundheit Planung für Fachkraefte,fachkraefte,zeit sparen und effizienter arbeiten,planer,low,59,de,DE,micro domain #150
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Berufseinsteiger,berufseinsteiger,ueberblick behalten und struktur schaffen,trainingsjournal,medium,51,de,DE,micro domain #151
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Selbststaendige,selbststaendige,fehler vermeiden und qualitaet sichern,workbook,medium,52,de,DE,micro domain #152
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Freelancer,freelancer,kosten senken und budget einhalten,leitfaden,medium,53,de,DE,micro domain #153
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Kleinunternehmer,kleinunternehmer,motivation finden und dranbleiben,praxisbuch,medium,54,de,DE,micro domain #154
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Studenten,studenten,richtige methode erlernen,vorlagenbuch,medium,55,de,DE,micro domain #155
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Schueler,schueler,alltag vereinfachen und routine aufbauen,arbeitsbuch,medium,51,de,DE,micro domain #156
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Rentner,rentner,sicherer im umgang werden,ratgeber,medium,52,de,DE,micro domain #157
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Pflegende Angehoerige,pflegende_angehoerige,besser verstehen und anwenden,checkliste,medium,53,de,DE,micro domain #158
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Fachkraefte,fachkraefte,ergebnisse verbessern und optimieren,planer,medium,54,de,DE,micro domain #159
gesundheit,gesundheit_optimierung,Gesundheit Optimierung für Fuehrungskraefte,fuehrungskraefte,zeit sparen und effizienter arbeiten,tagebuch,medium,55,de,DE,micro domain #160
gesundheit,gesundheit_pflege,Gesundheit Pflege für Selbststaendige,selbststaendige,ueberblick behalten und struktur schaffen,workbook,medium,52,de,DE,micro domain #161
gesundheit,gesundheit_pflege,Gesundheit Pflege für Freelancer,freelancer,fehler vermeiden und qualitaet sichern,leitfaden,medium,53,de,DE,micro domain #162
gesundheit,gesundheit_pflege,Gesundheit Pflege für Kleinunternehmer,kleinunternehmer,kosten senken und budget einhalten,praxisbuch,medium,54,de,DE,micro domain #163
gesundheit,gesundheit_pflege,Gesundheit Pflege für Studenten,studenten,motivation finden und dranbleiben,vorlagenbuch,medium,55,de,DE,micro domain #164
gesundheit,gesundheit_pflege,Gesundheit Pflege für Schueler,schueler,richtige methode erlernen,arbeitsbuch,medium,56,de,DE,micro domain #165
gesundheit,gesundheit_pflege,Gesundheit Pflege für Rentner,rentner,alltag vereinfachen und routine aufbauen,ratgeber,medium,52,de,DE,micro domain #166
gesundheit,gesundheit_pflege,Gesundheit Pflege für Pflegende Angehoerige,pflegende_angehoerige,sicherer im umgang werden,checkliste,medium,53,de,DE,micro domain #167
gesundheit,gesundheit_pflege,Gesundheit Pflege für Fachkraefte,fachkraefte,besser verstehen und anwenden,planer,medium,54,de,DE,micro domain #168
gesundheit,gesundheit_pflege,Gesundheit Pflege für Fuehrungskraefte,fuehrungskraefte,ergebnisse verbessern und optimieren,tagebuch,medium,55,de,DE,micro domain #169
gesundheit,gesundheit_pflege,Gesundheit Pflege für Schichtarbeiter,schichtarbeiter,zeit sparen und effizienter arbeiten,trainingsjournal,medium,56,de,DE,micro domain #170
gesundheit,gesundheit_training,Gesundheit Training für Freelancer,freelancer,ueberblick behalten und struktur schaffen,leitfaden,medium,53,de,DE,micro domain #171
gesundheit,gesundheit_training,Gesundheit Training für Kleinunternehmer,kleinunternehmer,fehler vermeiden und qualitaet sichern,praxisbuch,medium,54,de,DE,micro domain #172
gesundheit,gesundheit_training,Gesundheit Training für Studenten,studenten,kosten senken und budget einhalten,vorlagenbuch,medium,55,de,DE,micro domain #173
gesundheit,gesundheit_training,Gesundheit Training für Schueler,schueler,motivation finden und dranbleiben,arbeitsbuch,medium,56,de,DE,micro domain #174
gesundheit,gesundheit_training,Gesundheit Training für Rentner,rentner,richtige methode erlernen,ratgeber,medium,57,de,DE,micro domain #175
gesundheit,gesundheit_training,Gesundheit Training für Pflegende Angehoerige,pflegende_angehoerige,alltag vereinfachen und routine aufbauen,checkliste,medium,53,de,DE,micro domain #176
gesundheit,gesundheit_training,Gesundheit Training für Fachkraefte,fachkraefte,sicherer im umgang werden,planer,medium,54,de,DE,micro domain #177
gesundheit,gesundheit_training,Gesundheit Training für Fuehrungskraefte,fuehrungskraefte,besser verstehen und anwenden,tagebuch,medium,55,de,DE,micro domain #178
gesundheit,gesundheit_training,Gesundheit Training für Schichtarbeiter,schichtarbeiter,ergebnisse verbessern und optimieren,trainingsjournal,medium,56,de,DE,micro domain #179
gesundheit,gesundheit_training,Gesundheit Training für Berufstaetige,berufstaetige,zeit sparen und effizienter arbeiten,workbook,medium,57,de,DE,micro domain #180
gesundheit,gesundheit_beratung,Gesundheit Beratung für Kleinunternehmer,kleinunternehmer,ueberblick behalten und struktur schaffen,praxisbuch,high,54,de,DE,micro domain #181
